price,rolling_avg,normalized
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
350.0,300.0,1.0
100.0,,0.2857143
200.0,150.0,0.5714286
300.0,250.0,0.85714287
150.0,225.0,0.42857143
250.0,200.0,0.71428573
